company,ticker,year,segment,industry,hq_country,ceo_sust_statem,revenue_MEUR,num_employees,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,energy_consump_GJ,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,water_withdraw_thm3,disclosure_of_water_discharges,ghg_emis_kt,transport_emis_kt,external_audit_of_ESG_report,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,base_year,years_esg_data,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue,csrd_2025,csrd_2027
Golden Ocean Group Ltd,GOGL,2022,Large,Industrial Goods and Services,Norway,0,1057.364304,33.0,1,1,1,21483634.0,1,0,1,,0,1867.7604,0.0258,0,1,1,1,1,2019,4,1,0,1,1,1.7664303522771467,,0,1
Höegh LNG Holdings,HLNG,2019,Mid,Energy and Utilities,Bermuda,1,300.1223214,750.0,1,1,1,18338400.0,0,0,0,,0,1030.688,,0,1,1,0,1,2019,2,1,0,1,0,3.4342264020619435,,0,1
Höegh LNG Holdings,HLNG,2020,Mid,Energy and Utilities,Bermuda,1,299.2285714,846.0,1,1,1,16516800.0,0,0,1,,0,930.5132,,0,1,1,0,1,2019,2,1,0,1,0,3.109707056536781,,0,1
Jinhui Shipping,JIN,2021,Mid,Industrial Goods and Services,Bermuda,0,117.0258929,56.0,1,1,1,,0,0,0,49000.0,0,,,0,0,0,0,0,2021,1,0,1,0,0,,418.7107552503024,0,1
Northern Drilling Ltd,NODL,2020,Mid,Energy and Utilities,Bermuda,0,,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2020,1,0,0,0,0,,,0,0
Odfjell Drilling Ltd,ODL,2020,Mid,Energy and Utilities,Bermuda,1,830.3571429,2369.0,1,1,1,3074000.0,0,0,1,,1,235.0,,0,1,0,0,1,2019,4,1,0,1,0,0.28301075267356507,,1,0
Odfjell Drilling Ltd,ODL,2021,Mid,Energy and Utilities,Bermuda,1,771.2973214,2924.0,1,1,1,2635647.0,0,0,1,,0,193.124,192.464,0,1,1,1,1,2019,4,1,0,1,1,0.2503885267609332,,1,0
Odfjell Drilling Ltd,ODL,2022,Mid,Energy and Utilities,Bermuda,0,616.3058381,1041.0,1,1,1,2612987.0,0,0,1,,0,192.3321945,215.239,0,1,1,0,1,2019,4,1,0,1,1,0.3120726473936026,,1,0
Odfjell Drilling Ltd,ODL,2019,Mid,Energy and Utilities,Bermuda,1,734.9955357,2579.0,1,1,1,10875600.0,0,0,1,,0,,,0,1,1,1,1,2019,4,1,0,0,0,,,1,0
Seadrill Ltd,SDRL,2019,Small,Energy and Utilities,Bermuda,0,1194.642857,4538.0,1,0,1,,0,0,0,,0,,,0,0,0,0,0,2019,3,0,0,0,0,,,1,0
Seadrill Ltd,SDRL,2020,Small,Energy and Utilities,Bermuda,0,945.5357143,3165.0,1,0,1,,0,0,0,,0,,,0,0,0,0,0,2019,3,0,0,0,0,,,1,0
Seadrill Ltd,SDRL,2022,Small,Energy and Utilities,Bermuda,0,800.5328529,2576.0,0,0,0,,0,0,0,,0,,,0,1,0,0,0,2019,3,0,0,0,0,,,1,0
Stolt-Nielsen,SNI,2021,Large,Industrial Goods and Services,Bermuda,1,1947.394643,6533.0,1,1,1,208800.0,0,0,1,430.0,0,108884000.0,,0,1,0,0,0,2019,4,1,1,1,0,55912.65252340534,0.2208078375616647,1,0
Stolt-Nielsen,SNI,2022,Large,Industrial Goods and Services,Bermuda,0,2632.167214,6623.0,0,1,1,,0,0,1,,0,1827857000.0,,0,0,0,0,0,2019,4,0,0,1,0,694430.4261059001,,1,0
Stolt-Nielsen,SNI,2019,Large,Industrial Goods and Services,Bermuda,0,1818.75,6661.0,1,0,1,,0,0,0,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,1,0
Stolt-Nielsen,SNI,2020,Large,Industrial Goods and Services,Bermuda,0,1745.657143,6384.0,1,1,1,,0,0,1,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,1,0
UIE plc (formerly United International E,UIE,2022,Large,Consumer Goods and Services,Denmark,0,544.4169041,6386.0,1,1,1,26305.2,1,0,0,,0,,,0,0,0,0,0,2019,3,1,0,0,0,,,1,0
UIE plc (formerly United International E,UIE,2019,Large,Consumer Goods and Services,Denmark,0,253.2357143,6849.0,1,1,1,,0,0,0,,0,,,0,0,0,0,0,2019,3,0,0,0,0,,,1,0
Africa Oil Corp.,AOI,2019,Mid,Energy and Utilities,Canada,0,,39.0,1,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,3,0,0,0,0,,,0,0
Africa Oil Corp.,AOI,2020,Mid,Energy and Utilities,Canada,0,1826.785714,,1,1,1,,0,0,0,,0,,,0,0,0,0,1,2019,3,0,0,0,0,,,0,0
Africa Oil Corp.,AOI,2021,Mid,Energy and Utilities,Canada,1,202.5705357,,1,1,0,,0,0,0,63372912.0,1,127.0706,4973.2445,0,0,0,1,0,2019,3,0,1,1,1,0.6272906351404787,312843.68075055646,0,0
International Petroleum Corp.,IPCO,2019,Mid,Energy and Utilities,Canada,0,494.41875,285.0,1,1,1,,1,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,1
International Petroleum Corp.,IPCO,2020,Mid,Energy and Utilities,Canada,1,284.32,245.0,1,1,1,792796.7772,0,0,1,3690822.0,1,835.103,33.171,0,0,0,0,0,2019,4,1,1,1,1,2.9371940067529545,12981.225379853686,0,1
International Petroleum Corp.,IPCO,2021,Mid,Energy and Utilities,Canada,0,595.0080357,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,0
International Petroleum Corp.,IPCO,2022,Mid,Energy and Utilities,Canada,0,320.7116936,263.0,0,0,0,,0,0,0,,0,,,0,0,0,1,1,2019,4,0,0,0,0,,,0,1
Josemaria Resources Inc.,JOSE,2019,Mid,Basic Materials,Canada,0,,27.0,1,0,0,,0,0,1,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,0
Josemaria Resources Inc.,JOSE,2020,Mid,Basic Materials,Canada,0,,39.0,1,1,1,,0,0,0,,0,,,0,1,0,0,0,2019,2,0,0,0,0,,,0,0
Lucara Diamond Corp.,LUC,2019,Mid,Basic Materials,Canada,1,171.92,277.0,1,0,0,498642.0,0,0,1,2166.017,0,78.85,56369.0,1,0,0,0,0,2019,2,1,1,1,1,0.45864355514192645,12.598982084690554,0,1
Lucara Diamond Corp.,LUC,2020,Mid,Basic Materials,Canada,1,111.875,534.0,1,1,0,440135.0,1,0,0,2450.774,0,74.135,,1,1,0,0,0,2019,2,1,1,1,0,0.662659217877095,21.906359776536313,0,1
Lundin Gold Inc.,LUG,2019,Mid,Basic Materials,Canada,1,,1795.0,1,0,0,,0,0,0,299.149,0,46.055,3.47634,0,0,0,0,0,2019,2,0,1,1,1,,,0,0
Lundin Gold Inc.,LUG,2020,Mid,Basic Materials,Canada,1,319.7821429,1434.0,1,1,0,725742.0,0,0,0,1176.0,0,48.55,1.141,0,0,0,0,0,2019,2,1,1,1,1,0.15182211101506757,3.6775036571311936,1,0
Lundin Mining Corporation,LUMI,2019,Mid,Basic Materials,Canada,1,1689.922321,11362.0,1,1,1,10738795.0,1,0,1,34700.0,1,787.208,,1,1,0,0,0,2019,3,1,1,1,0,0.4658249614302834,20.53348817800484,1,0
Lundin Mining Corporation,LUMI,2020,Mid,Basic Materials,Canada,1,1822.767857,,1,1,1,11264826.0,0,0,1,38779000.0,0,885.662,38.649,1,1,0,0,1,2019,3,1,1,1,1,0.48588853297954554,21274.788147638483,0,0
Lundin Mining Corporation,LUMI,2022,Mid,Basic Materials,Canada,0,,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,3,0,0,0,0,,,0,0
Questerre Energy Corporation,QEC,2020,Large,Energy and Utilities,Canada,1,19.575,3.0,1,1,0,,0,0,0,,0,,,0,0,0,0,0,2019,3,0,0,0,0,,,0,0
Questerre Energy Corporation,QEC,2022,Large,Energy and Utilities,Canada,0,49.14398063,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,3,0,0,0,0,,,0,0
Questerre Energy Corporation,QEC,2019,Large,Energy and Utilities,Canada,0,22.10728227,,0,0,1,,0,0,0,,0,,,0,0,0,0,0,2019,3,0,0,0,0,,,0,0
ABB Ltd,ABB,2019,Large,Industrial Goods and Services,Switzerland,1,20137.5,144400.0,1,1,1,9637200.0,1,0,1,8554.0,1,998.0,6182.0,1,1,1,1,1,2019,4,1,1,1,1,0.0495592799503414,0.4247796399751707,1,0
ABB Ltd,ABB,2020,Large,Industrial Goods and Services,Switzerland,1,23333.92857,105591.0,1,1,1,5817600.0,0,0,1,3283.07,0,561.0,6126.0,1,1,1,1,1,2019,4,1,1,1,1,0.024042243821782643,0.14069941073793216,1,0
ABB Ltd,ABB,2021,Large,Industrial Goods and Services,Switzerland,1,25843.75,107581.0,1,1,1,5590800.0,0,0,1,2839.0,0,405.0,125117.0,1,1,1,1,1,2019,4,1,1,1,1,0.015671100362756953,0.10985247883917774,1,0
ABB Ltd,ABB,2022,Large,Industrial Goods and Services,Switzerland,0,27963.91263,105100.0,1,1,1,5101200.0,1,0,1,2815.0,1,223.0,126627.0,0,1,1,1,1,2019,4,1,1,1,1,0.007974563608125535,0.10066545541198825,1,0
Cavotec SA,CCC,2019,Mid,Industrial Goods and Services,Switzerland,1,196.0,769.0,1,1,1,,0,0,0,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,0,1
Cavotec SA,CCC,2020,Mid,Industrial Goods and Services,Switzerland,1,158.437,738.0,1,0,1,,0,0,0,,0,,,0,0,0,0,1,2019,4,0,0,0,0,,,0,1
Cavotec SA,CCC,2021,Mid,Industrial Goods and Services,Switzerland,1,115.794,600.0,1,0,1,12704.4,0,0,0,56.5,0,1.219,0.331,0,1,0,0,1,2019,4,1,1,1,1,0.010527315750384304,0.4879354716133824,0,1
Cavotec SA,CCC,2022,Mid,Industrial Goods and Services,Switzerland,0,147.8,627.0,1,0,1,13888.8,1,0,0,2510.0,1,1.258,0.338,0,1,0,0,1,2019,4,1,1,1,1,0.008511502029769958,16.982408660351826,0,1
Fenix Outdoor International AG,FOI,2019,Large,Consumer Goods and Services,Switzerland,1,607.1,2478.0,1,1,1,97713.0,0,1,1,560.349,1,14.74,,0,1,0,1,1,2019,4,1,1,1,0,0.02427936089606325,0.9229929171470928,1,0
Fenix Outdoor International AG,FOI,2020,Large,Consumer Goods and Services,Switzerland,1,563.0,2433.0,1,1,1,78674.4,0,1,1,31009.075,1,5.871,7.66,0,1,0,1,1,2019,4,1,1,1,1,0.010428063943161635,55.07828596802842,1,0
Fenix Outdoor International AG,FOI,2021,Large,Consumer Goods and Services,Switzerland,1,649.947,2440.0,1,1,1,1446.67,0,1,1,70.898,0,113.115,,0,1,0,1,1,2019,4,1,1,1,0,0.1740372676541318,0.10908274059269447,1,0
Fenix Outdoor International AG,FOI,2022,Large,Consumer Goods and Services,Switzerland,0,759.1,2837.0,1,1,1,1286.77,0,0,1,55.584,1,5.6,9.829,0,1,0,1,1,2019,4,1,1,1,1,0.007377157159794492,0.07322355420893163,1,0
Oriflame Holding AG,ORIFL,2020,Large,Consumer Goods and Services,Switzerland,1,1156.9,5460.0,1,1,1,173844.0,1,1,1,255.0,1,5.143,13.926,0,1,1,1,1,2020,1,1,1,1,1,0.004445500907597891,0.22041663065087733,1,0
Salmones Camanchaca S.A.,SACAM,2020,Large,Consumer Goods and Services,Chile,1,228.0026786,1786.0,1,1,1,468108.0,1,0,1,38582.238,1,39.532,207.783,1,1,1,1,1,2019,4,1,1,1,1,0.17338392795530955,169.21835408647695,1,0
Salmones Camanchaca S.A.,SACAM,2021,Large,Consumer Goods and Services,Chile,1,262.1982143,1276.0,1,1,1,309100.0,1,1,1,32511.911,1,23.303,182.009,1,1,1,1,1,2019,4,1,1,1,1,0.08887550993515671,123.99745393689356,1,0
Salmones Camanchaca S.A.,SACAM,2022,Large,Consumer Goods and Services,Chile,0,354.1726374,1770.0,1,1,1,329360.0,0,0,1,31658.254,1,24.291,183.195,0,1,1,1,1,2019,4,1,1,1,1,0.0685851966948139,89.38650436805314,1,0
TRATON SE,8TRA,2021,Large,Industrial Goods and Services,Germany,1,30620.0,94142.0,1,1,1,,1,0,1,,0,,,0,1,0,0,0,2021,1,0,0,0,0,,,1,0
Bang & Olufsen A/S,BO,2019,Mid,Consumer Goods and Services,Denmark,1,272.5568942,915.0,1,1,1,,0,0,1,,0,,,0,1,0,1,1,2019,2,0,0,0,0,,,0,1
Carlsberg A/S,CARL,2021,Large,Consumer Goods and Services,Denmark,1,8920.21419,39276.0,1,1,1,11923200.0,0,0,1,34600.0,0,789.0,,1,1,1,1,1,2019,4,1,1,1,0,0.08845079088846408,3.878830627047981,1,0
Carlsberg A/S,CARL,2022,Large,Consumer Goods and Services,Denmark,0,9444.77366,30827.0,1,1,1,5637595.49,1,0,1,27300.0,0,323.0,,0,1,1,0,1,2019,4,1,1,1,0,0.03419880789393104,2.89048747834154,1,0
Carlsberg A/S,CARL,2019,Large,Consumer Goods and Services,Denmark,1,8822.222222,41248.0,1,1,1,11556000.0,1,0,1,35900.0,1,638.0,,1,1,0,0,1,2019,4,1,1,1,0,0.07231738035446643,4.06926952151308,1,0
Carlsberg A/S,CARL,2020,Large,Consumer Goods and Services,Denmark,1,7836.813922,39987.0,1,1,1,10980000.0,1,0,1,33100.0,0,563.0,,1,1,1,0,1,2019,4,1,1,1,0,0.07184041953829104,4.223655216194375,1,0
Københavns Lufthavne A/S,KBHL,2019,Large,Industrial Goods and Services,Denmark,1,581.793842,2539.0,1,1,1,308401.2,0,0,0,,0,27.013,347.882,0,0,0,0,0,2019,4,1,0,1,1,0.046430536127950284,,1,0
Københavns Lufthavne A/S,KBHL,2020,Large,Industrial Goods and Services,Denmark,1,210.9370817,2443.0,1,1,1,246801.6,1,0,1,,0,21.702,126.833,1,0,0,0,0,2019,4,1,0,1,1,0.10288375957938553,,1,0
Københavns Lufthavne A/S,KBHL,2021,Large,Industrial Goods and Services,Denmark,1,235.729585,1852.0,1,1,1,566066.0,1,0,1,207.941,0,22.011,143.639,0,1,0,0,0,2019,4,1,1,1,1,0.09337393946542603,0.8821166846749423,1,0
Københavns Lufthavne A/S,KBHL,2022,Large,Industrial Goods and Services,Denmark,0,474.7589919,2218.0,1,1,1,594283.0,1,0,1,495.624,0,22.762,245.496,0,1,0,0,1,2019,4,1,1,1,1,0.047944326254687204,1.0439486317394382,1,0
Lån og Spar Bank A/S,LASP,2019,Mid,Finance,Denmark,0,139.5907631,425.0,1,1,1,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,1
Lån og Spar Bank A/S,LASP,2020,Mid,Finance,Denmark,1,140.8393574,429.0,1,1,1,,1,0,1,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,1
Bang & Olufsen A/S,BO,2020,Mid,Consumer Goods and Services,Denmark,1,351.9410977,885.0,1,1,1,,0,0,1,,0,,,0,1,1,0,1,2019,2,0,0,0,0,,,0,1
Rockwool International A/S,ROCK,2021,Large,Industrial Goods and Services,Denmark,1,3088.0,11955.0,1,1,1,20473200.0,0,0,0,3680.0,0,1910.0,1040.0,1,1,1,1,1,2019,4,1,1,1,1,0.6185233160621761,1.1917098445595855,1,0
Rockwool International A/S,ROCK,2022,Large,Industrial Goods and Services,Denmark,0,3907.0,12197.0,1,1,1,20019600.0,0,0,1,3.65,0,96.0,99.0,1,1,0,1,1,2019,4,1,1,1,1,0.02457128231379575,0.0009342206296391092,1,0
Rockwool International A/S,ROCK,2019,Large,Industrial Goods and Services,Denmark,1,2757.0,11646.0,1,1,1,18190800.0,0,0,1,3480.0,1,1750.0,,0,1,1,0,1,2019,4,1,1,1,0,0.6347479143997098,1.2622415669205658,1,0
Rockwool International A/S,ROCK,2020,Large,Industrial Goods and Services,Denmark,1,2602.0,11626.0,1,1,1,,0,0,0,,0,,,0,1,0,1,1,2019,4,0,0,0,0,,,1,0
FLSmidth & Co. A/S,FLS,2019,Large,Industrial Goods and Services,Denmark,1,2763.855422,11765.0,1,1,0,,1,0,0,221.613,0,44.862,42.066,1,1,1,1,1,2019,4,0,1,1,1,0.01623167393015683,0.08018255884008392,1,0
FLSmidth & Co. A/S,FLS,2020,Large,Industrial Goods and Services,Denmark,1,2200.937082,10937.0,1,1,1,,0,0,1,197.346,0,36.831,,1,1,1,1,1,2019,4,0,1,1,0,0.016734235749497905,0.0896645349901011,1,0
FLSmidth & Co. A/S,FLS,2021,Large,Industrial Goods and Services,Denmark,1,2353.547523,10115.0,1,1,1,,1,0,1,201.997,0,34.737,193021.799,1,1,1,1,1,2019,4,0,1,1,1,0.014759421537289263,0.08582660771706882,1,0
FLSmidth & Co. A/S,FLS,2022,Large,Industrial Goods and Services,Denmark,0,2936.865576,10977.0,1,1,1,,0,0,1,178.064,0,39.079,127400.0,0,1,1,0,1,2019,4,0,1,1,1,0.013306363191884815,0.0606306265615747,1,0
A.P. Møller -Maersk A/S,MAERSK,2020,Large,Industrial Goods and Services,Denmark,1,35482.14286,83609.0,1,1,1,432767000.0,1,0,1,1736.0,0,34207.0,19017.0,1,1,1,0,1,2019,4,1,1,1,1,0.9640624055590086,0.048926019120368314,1,0
A.P. Møller -Maersk A/S,MAERSK,2021,Large,Industrial Goods and Services,Denmark,1,55166.96429,85369.0,1,1,1,473188000.0,1,0,0,1834.0,0,37173.0,28952.0,1,1,1,1,1,2019,4,1,1,1,1,0.67382718042251,0.03324453363717977,1,0
A.P. Møller -Maersk A/S,MAERSK,2022,Large,Industrial Goods and Services,Denmark,0,77425.45109,104260.0,1,1,1,447345000.0,1,0,1,916.0,0,34506.0,43451.0,0,1,1,1,1,2019,4,1,1,1,1,0.44566740670183413,0.011830735076186174,1,0
A.P. Møller -Maersk A/S,MAERSK,2019,Large,Industrial Goods and Services,Denmark,1,34723.21429,83512.0,1,1,1,463815000.0,0,0,1,1696.0,0,36491.0,,1,1,1,1,1,2019,4,1,1,1,0,1.0509107738481775,0.048843404468129376,1,0
Schouw & Co. A/S,SCHO,2019,Large,Industrial Goods and Services,Denmark,1,2804.729,9683.0,1,1,1,,0,0,1,,0,,,0,1,0,0,1,2019,4,0,0,0,0,,,1,0
Schouw & Co. A/S,SCHO,2020,Large,Industrial Goods and Services,Denmark,1,2847.791165,9385.0,1,1,1,2803006.8,0,0,0,1199.72,0,222.713,,0,1,0,0,0,2019,4,1,1,1,0,0.07820552389416517,0.4212808912201257,1,0
Schouw & Co. A/S,SCHO,2021,Large,Industrial Goods and Services,Denmark,1,3242.168675,10208.0,1,1,1,2968221.6,1,0,1,1163.416,0,231.184,,0,1,1,0,0,2019,4,1,1,1,0,0.07130535859612548,0.35883882568201053,1,0
Schouw & Co. A/S,SCHO,2022,Large,Industrial Goods and Services,Denmark,0,4386.950515,12277.0,1,1,1,1465308.0,1,0,1,1177.187,0,220.34,,0,1,0,1,1,2019,4,1,1,1,0,0.05022623329043865,0.268338335701514,1,0
MT Højgaard A/S (formerly known as Højga,MTHH,2021,Mid,Industrial Goods and Services,Denmark,1,964.2570281,2783.0,1,1,1,130108.0,1,0,1,16.853,0,8.074,,0,1,1,0,1,2020,3,1,1,1,0,0.008373286130886953,0.017477705123091134,1,0
MT Højgaard A/S (formerly known as Højga,MTHH,2022,Mid,Industrial Goods and Services,Denmark,0,1163.293947,3004.0,1,1,1,,0,0,1,15.452,0,14.236,98.322,1,1,0,0,0,2020,3,0,1,1,1,0.01223766360747685,0.013282971204181811,1,0
MT Højgaard A/S (formerly known as Højga,MTHH,2020,Mid,Industrial Goods and Services,Denmark,1,796.6532798,2678.0,1,1,1,115853.0,1,0,1,,0,7.668,,0,1,1,0,1,2020,3,1,0,1,0,0.009625266341619849,,1,0
Brødrene Hartmann A/S,HART,2019,Mid,Industrial Goods and Services,Denmark,1,315.4484605,1997.0,1,1,1,,0,0,0,,0,,,0,1,1,0,1,2019,4,0,0,0,0,,,1,0
Brødrene Hartmann A/S,HART,2020,Mid,Industrial Goods and Services,Denmark,1,343.6947791,2172.0,1,0,1,,0,0,0,,0,,,0,1,0,0,1,2019,4,0,0,0,0,,,1,0
Brødrene Hartmann A/S,HART,2021,Mid,Industrial Goods and Services,Denmark,1,367.3360107,2755.0,1,1,1,3529335.6,0,0,0,1846.596,0,207.625,197.197,0,0,1,1,0,2019,4,1,1,1,1,0.5652182033673945,5.02699421295806,1,0
Brødrene Hartmann A/S,HART,2022,Mid,Industrial Goods and Services,Denmark,0,450.2951934,2458.0,1,0,1,,1,0,0,1632.884,0,210.667,259.665,0,1,0,0,0,2019,4,0,1,1,1,0.46784199140421023,3.626252342759295,1,0
RTX A/S,RTX,2019,Mid,Other,Denmark,1,75.00669344,289.0,1,1,1,,0,0,1,,0,,,0,1,1,0,1,2019,4,0,0,0,0,,,0,1
RTX A/S,RTX,2020,Mid,Other,Denmark,1,74.41767068,262.0,0,0,0,3222.0,0,0,0,,0,,,0,1,0,1,1,2019,4,1,0,0,0,,,0,1
RTX A/S,RTX,2021,Mid,Other,Denmark,1,61.19906292,278.0,1,0,0,2602.8,0,0,0,,0,0.5425,,0,1,0,1,1,2019,4,1,0,1,0,0.008864514816332419,,0,1
